anime_id,name,score,type,episodes,popularity,members,favorites,Action,Adventure,Comedy,Demons,Drama,Ecchi,Fantasy,Hentai,Historical,Horror,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Romance,School,Sci-Fi,Seinen,Shoujo,Shounen,Slice of Life,Space,Sports,Super Power,Supernatural
29,Zipang,7.51,TV,26.0,3985,16652,152,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
30,Neon Genesis Evangelion,8.32,TV,26.0,54,1160651,71308,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Neon Genesis Evangelion: Death & Rebirth,7.45,Movie,1.0,833,180681,588,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Neon Genesis Evangelion: The End of Evangelion,8.51,Movie,1.0,195,572080,17811,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,Kenpuu Denki Berserk,8.49,TV,25.0,301,432190,18567,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
43,Koukaku Kidoutai,8.29,Movie,1.0,265,468279,10362,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,OVA,4.0,637,228484,6111,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,TV,94.0,345,386195,11236,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,Movie,1.0,2411,44334,107,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,Akira,8.17,Movie,1.0,197,566538,9555,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
48,.hack//Sign,6.98,TV,26.0,940,158227,1359,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
49,Aa! Megami-sama!,7.32,OVA,5.0,2360,46428,267,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
50,Aa! Megami-sama! (TV),7.35,TV,24.0,1083,135747,1124,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
51,Tenshi Kinryouku,6.31,OVA,3.0,2419,43960,215,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
52,Kidou Tenshi Angelic Layer,7.26,TV,26.0,2232,51022,290,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
53,Ai Yori Aoshi,7.14,TV,24.0,1465,94793,458,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
54,Appleseed (Movie),7.1,Movie,1.0,1901,65139,173,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
55,Arc the Lad,6.53,TV,26.0,4259,14187,17,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
56,Avenger,5.91,TV,13.0,4073,15779,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
57,Beck,8.31,TV,26.0,570,255668,7038,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
58,Blue Gender,7.05,TV,26.0,1886,65360,389,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
59,Chobits,7.43,TV,26.0,332,402646,3859,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
60,Chrno Crusade,7.66,TV,24.0,742,198007,2064,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
61,D.N.Angel,7.2,TV,26.0,891,167615,1523,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
62,D.C.: Da Capo,6.77,TV,26.0,1852,67491,189,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,DearS,6.62,TV,12.0,1146,128788,391,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
64,Rozen Maiden,7.44,TV,12.0,846,176775,2074,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,Rozen Maiden: Träumend,7.65,TV,12.0,1479,93768,516,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
66,Azumanga Daioh,7.98,TV,26.0,554,262980,5181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
67,Basilisk: Kouga Ninpou Chou,7.58,TV,24.0,940,156661,1467,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
68,Black Cat (TV),7.38,TV,23.0,622,231668,1955,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
69,Cluster Edge,6.35,TV,25.0,5061,9299,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Full Metal Panic!,7.65,TV,24.0,322,411230,4417,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,Full Metal Panic? Fumoffu,8.07,TV,12.0,571,254465,2988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,Full Metal Panic! The Second Raid,7.96,TV,13.0,639,227927,1358,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Gakuen Alice,7.65,TV,26.0,1640,81446,1613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
75,Soukyuu no Fafner: Dead Aggressor,7.3,TV,25.0,2523,40602,255,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
76,Mahou Shoujo Lyrical Nanoha,7.42,TV,13.0,1550,88890,1036,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,Mahou Shoujo Lyrical Nanoha A's,7.99,TV,13.0,2075,56981,1014,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,Shuffle!,7.09,TV,24.0,600,240751,1572,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
80,Mobile Suit Gundam,7.78,TV,43.0,1427,97216,1787,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
81,Mobile Suit Gundam: The 08th MS Team,8.03,OVA,12.0,1948,62655,911,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,OVA,6.0,2444,43308,717,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,Movie,1.0,4660,11460,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,OVA,13.0,2791,33687,230,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
85,Mobile Suit Zeta Gundam,7.92,TV,50.0,2159,53822,1721,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
86,Mobile Suit Gundam ZZ,6.66,TV,47.0,2941,30758,130,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,Mobile Suit Gundam: Char's Counterattack,7.68,Movie,1.0,2773,34221,293,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
88,Mobile Suit Gundam F91,6.67,Movie,1.0,3387,23161,63,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
89,Mobile Suit Victory Gundam,6.76,TV,51.0,3588,20794,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
90,Mobile Suit Gundam Wing,7.72,TV,49.0,1118,132208,2538,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,OVA,3.0,2512,41030,221,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
92,After War Gundam X,7.32,TV,39.0,3043,28862,189,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
93,Mobile Suit Gundam SEED,7.79,TV,50.0,1057,140346,3584,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
94,Mobile Suit Gundam SEED Destiny,7.22,TV,50.0,1530,90208,1206,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
95,Turn A Gundam,7.7,TV,50.0,2714,35670,760,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
96,Mobile Fighter G Gundam,7.56,TV,49.0,2109,55463,896,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
97,Last Exile,7.82,TV,26.0,995,149528,1848,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,Mai-HiME,7.46,TV,26.0,1381,101495,1262,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
99,Mai-Otome,7.31,TV,26.0,2370,46018,333,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Shin Shirayuki-hime Densetsu Prétear,7.2,TV,13.0,2162,53508,457,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
101,Air,7.32,TV,12.0,563,259381,2704,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
102,Aishiteruze Baby★★,7.48,TV,26.0,1529,89533,571,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
103,Akazukin Chacha,7.39,TV,74.0,4551,12006,88,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
104,Ayashi no Ceres,7.23,TV,24.0,2182,53189,535,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
105,Boys Be...,6.46,TV,13.0,3665,20032,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
106,Hana yori Dango,7.7,TV,51.0,2293,48623,762,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
107,Ou Dorobou Jing,7.23,TV,13.0,2817,32988,210,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
108,Ou Dorobou Jing in Seventh Heaven,7.29,OVA,3.0,4619,11591,29,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Bakuretsu Tenshi,6.81,TV,24.0,1965,62106,257,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
110,Chuuka Ichiban!,7.63,TV,52.0,4086,15608,107,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
111,Corrector Yui,6.83,TV,52.0,4519,12222,50,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,Uchuu no Stellvia,7.38,TV,26.0,3577,20924,127,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
114,Sakigake!! Cromartie Koukou,7.93,TV,26.0,1279,112001,1561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
115,El Hazard: The Alternative World,6.83,TV,13.0,4961,9684,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,El Hazard: The Wanderers,6.97,TV,26.0,4198,14603,35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,El Hazard: The Magnificent World,7.32,OVA,7.0,4129,15406,91,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,El Hazard 2: The Magnificent World,6.85,OVA,4.0,5421,7745,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Final Approach,6.56,TV,13.0,2887,31774,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
120,Fruits Basket,7.69,TV,26.0,314,420919,9504,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
121,Fullmetal Alchemist,8.17,TV,51.0,52,1151621,26564,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
122,Full Moon wo Sagashite,7.96,TV,52.0,1519,90884,1823,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
123,Fushigi Yuugi,7.64,TV,52.0,1434,96861,2277,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
124,Fushigi Yuugi: Eikouden,6.86,OVA,4.0,4101,15576,69,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
125,Futakoi,6.49,TV,13.0,2900,31358,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
126,Futakoi Alternative,6.91,TV,13.0,3071,28297,71,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,Gate Keepers,6.96,TV,24.0,3717,19351,59,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
128,Gate Keepers 21,6.79,OVA,6.0,5026,9399,23,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
129,Gensoumaden Saiyuuki,7.59,TV,50.0,2359,46228,833,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
130,Saiyuuki Reload,7.41,TV,25.0,3071,28277,116,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,Saiyuuki Reload Gunlock,7.42,TV,26.0,3724,19393,51,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,GetBackers,7.61,TV,49.0,1339,105139,911,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
133,Green Green,6.21,TV,12.0,1333,106208,263,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
134,Gunslinger Girl,7.42,TV,13.0,920,161010,1140,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
135,Hikaru no Go,8.11,TV,75.0,1287,111164,2186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
136,Hunter x Hunter,8.42,TV,62.0,319,416227,9525,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
137,Hunter x Hunter: Original Video Animation,8.33,OVA,8.0,1375,101579,408,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
138,Hunter x Hunter: Greed Island,8.21,OVA,8.0,1244,116633,318,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
139,Hunter x Hunter: Greed Island Final,8.29,OVA,14.0,1288,111292,268,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
141,Jinki:Extend,6.14,TV,12.0,4923,9900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,Kamikaze Kaitou Jeanne,7.45,TV,44.0,2363,46140,499,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
143,Kannazuki no Miko,6.87,TV,12.0,2000,60077,767,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
144,Kanon,7.11,TV,13.0,2105,55784,248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
145,Kareshi Kanojo no Jijou,7.61,TV,26.0,875,170539,2188,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
146,Kono Minikuku mo Utsukushii Sekai,6.76,TV,12.0,2145,54222,178,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
147,Kimi ga Nozomu Eien,7.24,TV,14.0,1187,123752,1072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
148,Kita e.: Diamond Dust Drops,6.62,TV,12.0,5411,7823,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
149,Loveless,6.86,TV,12.0,1215,121063,1632,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
150,Blood+,7.66,TV,50.0,431,317767,4623,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
151,Re: Cutey Honey,7.12,OVA,3.0,3430,22697,133,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
152,Solty Rei,7.28,TV,24.0,3233,25666,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
153,Juuni Kokuki,8.06,TV,45.0,1266,113627,2261,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,Shaman King,7.78,TV,64.0,477,294021,3672,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
155,X/1999,6.59,Movie,1.0,2904,31227,128,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
156,X,7.43,TV,24.0,1818,69684,796,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
157,Mahou Sensei Negima!,6.98,TV,26.0,1208,121120,601,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
158,Maria-sama ga Miteru,7.34,TV,13.0,2170,53511,663,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
159,Boukyaku no Senritsu,6.34,TV,24.0,3975,16632,43,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
160,"Ima, Soko ni Iru Boku",7.66,TV,13.0,1309,108100,1018,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,Peace Maker Kurogane,7.33,TV,24.0,2251,50151,307,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,Pita Ten,6.94,TV,26.0,3626,20422,104,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
163,Power Stone,6.48,TV,26.0,5874,6378,20,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,Mononoke Hime,8.72,Movie,1.0,91,876813,17114,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,RahXephon,7.42,TV,26.0,1395,100343,949,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
166,Samurai 7,7.48,TV,26.0,1295,110124,744,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
167,Scrapped Princess,7.41,TV,24.0,1637,81917,433,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
168,s.CRY.ed,7.38,TV,26.0,1787,72311,673,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
169,Shingetsutan Tsukihime,6.91,TV,12.0,1086,135721,654,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
170,Slam Dunk,8.53,TV,101.0,728,201203,5471,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
171,Strange Dawn,6.35,TV,13.0,7014,4112,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
